Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
0,0.3527524769890957,-0.5824014963521666,0.9732543752444256,0.0434720716213964,0.14602129549965542,-0.12571796576428226,-0.6216219727539483,-0.31229465159141584,-0.2998152725527243,1.3,11.3,-0.17052279928158082,0.0,18.5,6.3,2.0,28.7,13.0,4.7,0.0,0.3,0.7391536189300926,4,3,229,4.0,4.0,625.0,54.0,52.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,2,-0.6121160220210058,0,1,2,3,2
0,-0.08331631680272644,-0.2554490819911544,-0.20260447196856934,0.0434720716213964,0.06308629464992845,-0.12571796576428226,-0.2981430194236818,-0.2641105342457556,-0.4103874441632686,19.0,15.0,-0.36675175736811094,0.0,59.9,4.7,5.3,133.0,19.0,21.3,0.0,0.7,0.5350728511818136,2,2,510,1.0,1.0,741.0,38.0,36.0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,9,0,0,0.729346502175374,0,1,2,4,2
0,-0.3105761112969165,-0.3423844060409033,-0.07661959548146274,-0.4013915088397724,-0.41378996023600173,-0.12571796576428226,0.04482261784214284,0.030066182180381,-0.4103874441632686,3.3,5.7,-0.36675175736811094,0.0,45.5,11.0,0.0,44.3,11.7,5.7,0.0,0.0,0.7391536189300926,2,2,129,1.0,1.0,787.0,50.0,58.0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,6,0,0,0.729346502175374,0,1,2,3,2
0,1.0106808325346517,1.4605786188169332,1.6031787576799585,-0.2890522208445278,0.7369331765539603,-0.12571796576428226,-0.49300985877926407,-0.6724075285958244,-0.36615857551905084,14.3,159.7,-0.3078830699421519,0.0,203.8,13.0,0.7,395.3,74.7,17.0,0.0,5.7,0.3309920834335346,1,1,738,1.0,1.0,679.0,30.0,62.0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6,0,0,0.729346502175374,0,1,3,4,1
0,-1.0981100526134167,-0.7506024494049418,-1.5464431544977064,-0.4013915088397724,-0.41378996023600173,-0.12571796576428226,0.11497468001015243,0.030066182180381,-0.1118425808147989,0.0,17.7,-0.36675175736811094,0.0,16.6,1.7,1.0,14.0,12.0,5.0,0.0,0.0,0.9432343866783716,2,2,218,1.0,1.0,848.0,60.0,52.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0.729346502175374,0,2,0,4,2
0,0.6220890849193387,0.16410835146632954,1.6031787576799585,-0.2890522208445278,0.3222581723053253,-0.10531692434287701,-0.1695309054489976,-0.0181179351652793,-0.2998152725527243,2.3,7.3,-0.36675175736811094,0.0,96.5,18.0,12.3,59.7,22.7,5.7,0.0,0.0,0.5350728511818136,2,2,229,2.0,2.0,56.0,36.0,34.0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,7,0,0,-0.6121160220210058,0,1,3,3,2
0,-0.2522985996394954,-0.3234854225518275,-0.7065439779169957,-0.4013915088397724,0.10455379507479194,-0.12571796576428226,0.26697081470750655,0.22280265156302217,0.07613011092312646,1.7,31.7,-0.36675175736811094,0.0,117.9,21.7,1.3,59.3,32.3,8.3,0.0,0.3,0.3309920834335346,1,1,290,4.0,2.0,464.0,26.0,46.0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,4,0,0,-0.6121160220210058,0,0,2,4,0
0,-0.5121848002739405,-0.45766820532426605,-0.2865943896266404,-0.4013915088397724,-0.33085495938627474,-0.12571796576428226,0.5787577576764381,0.24309070097172128,0.8501353121969366,0.0,1.3,-0.36675175736811094,0.0,62.7,27.7,5.0,95.3,25.7,13.7,0.0,0.0,0.7391536189300926,1,1,465,1.0,1.0,787.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.729346502175374,0,1,0,3,1
0,-0.9453284679980156,-0.9509316743891458,-1.126493566207351,-0.4013915088397724,-0.39305621002357,-0.12571796576428226,0.13835870073282228,0.09093033040647822,-0.5541312672569761,0.0,3.7,-0.36675175736811094,0.3,2.2,1.3,0.0,8.0,4.7,1.0,0.0,0.0,0.7391536189300926,1,1,601,1.0,1.0,787.0,28.0,30.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0.729346502175374,0,1,2,3,2
1,-0.23992306627595048,-0.14772487610342203,0.09136023983467938,-0.4013915088397724,-0.13388433236817315,-0.12571796576428226,-0.2396829676170072,-0.1778863242587845,-0.4103874441632686,0.3,25.0,-0.22939148670753987,0.0,10.9,9.0,2.0,46.0,33.0,2.7,0.0,1.0,0.5350728511818136,1,1,94,3.0,2.0,33.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6121160220210058,0,1,0,3,1
0,-0.4233059697539355,0.04315485713624408,0.13335519866371492,-0.4013915088397724,-0.41378996023600173,-0.12571796576428226,0.9334154053035977,0.030066182180381,-0.4103874441632686,1.0,18.7,-0.36675175736811094,0.0,54.9,0.0,0.0,78.0,48.3,3.3,0.0,1.7,0.9432343866783716,1,1,190,2.0,1.0,641.0,64.0,60.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,-0.6121160220210058,0,1,3,0,2
1,1.2471660246271208,1.7686320496888694,1.6031787576799585,-0.06886721637384825,0.5814300499607221,-0.12571796576428226,0.32153352972706956,0.6032035779761299,2.0664291999129243,1.7,90.7,-0.36675175736811094,0.0,564.8,14.0,1.0,261.3,118.0,26.3,0.0,8.7,0.7391536189300926,1,1,45,2.0,2.0,93.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6121160220210058,0,1,0,3,1
